---,Cost,KillBonus,BaseDamage,ArmourDamage,ArmourPenetration,HelmetDamage,HelmetBleed,Weight,FalloffModifier,MinFalloffDist,MaxFalloffDist
1911,50,800,25,25,10,100,50,0,0.8,2250,3000
57,100,300,20,25,100,100,75,0,0.85,2500,3000
sock,50,600,20,30,10,50,50,0,0.85,1250,2000
m9,50,400,20,30,10,50,50,0,0.85,1500,2000
de,300,600,40,35,100,100,100,0,0.85,2500,3500
revolver,300,600,50,35,100,100,100,0,0.68,1000,3500
cet9,300,500,25,25,50,80,50,0,0.8,2250,3000
smg,600,800,25,25,10,100,50,0,0.8,2250,3000
uzi,600,600,20,20,10,50,25,0,0.85,1250,2000
ak,1000,600,20,35,60,100,50,0,0.85,2000,3000
mp5,600,400,20,30,10,25,25,0,0.85,1500,2500
p90,900,300,20,20,10,25,75,0,0.8,1500,2500
vanas,1,200,20,45,60,50,75,0,0.75,1000,3500
kross,100,100,17,20,10,25,25,0,.8,1500,2500
ar9,1000,400,25,25,10,100,50,0,0.8,2000,3000
shotgun,1000,600,15,15,10,25,0,0,0.67,750,1500
sawedoff,1000,600,40,25,10,50,10,0,0.33,250,500
drumshotgun,5000,100,15,15,10,25,10,0,0.67,500,1100
autoshotgun,1000,100,15,15,10,25,10,0,0.67,500,1000
ak47,3000,300,25,60,100,100,100,0,1,500,4000
ak12,555,300,25,45,100,100,74,0,1,500,4000
ar,2000,300,20,45,100,100,75,0,1,500,4000
aug,1032,300,20,45,100,100,75,0,1,500,4000
galul,1000,300,20,45,100,100,75,0,1,500,4000
m16,1000,300,20,45,100,100,75,0,1,500,4000
sks,1000,100,35,60,100,100,100,0,1,500,4000
akshorty,500,400,25,25,10,100,50,0,1,500,4000
vzz,5000,400,20,30,10,25,25,0,1,500,4000
lmga,3900,100,20,60,100,100,75,0,1,500,4000
awp,1500,0,100,50,65,100,100,0,1,500,4000
autosniper,2000,100,35,60,100,100,100,0,1,500,4000
antitank,4200,0,200,100,100,100,100,0,1,500,4000
scur,1000,100,35,60,100,100,100,0,1,500,4000
luger,3,400,25,30,10,50,75,0,1,500,4000
tokarev,10,800,20,25,10,100,50,0,1,500,4000
webley,500,600,45,35,100,100,100,0,1,500,4000
sten,1000,400,20,30,10,25,25,0,1,500,4000
mp40,1500,400,20,30,10,25,25,0,1,500,4000
thompson,1400,400,20,30,10,25,25,0,1,500,4000
stg44,1000,300,20,40,100,100,75,0,1,500,4000
ppsh,500,100,17,20,10,25,25,0,.8,1500,2500
m1garand,99,400,35,60,100,100,100,0,1,500,4000
g43,1000,100,35,60,100,100,100,0,1,500,4000
svt40,9999,400,35,60,100,100,100,0,1,500,4000
mosin,1000,800,80,60,100,100,100,0,1,500,4000
springfield,1000,800,80,60,100,100,100,0,1,500,4000
kar98,500,800,80,60,100,100,100,0,1,500,4000
leeenfield,500,800,80,60,100,100,100,0,1,500,4000
bar,2000,100,20,60,100,100,75,0,1,500,4000
bren,2000,100,20,60,100,100,75,0,1,500,4000
dp27,2000,100,20,60,100,100,75,0,1,500,4000
mg42,1000,100,20,60,100,100,75,0,1,500,4000
rl_m1a1,4300,150,100,100,100,100,100,0,1,500,4000
rl_piat,4000,150,100,100,100,100,100,0,1,500,4000
rl_panzer,4500,150,100,100,100,100,100,0,1,500,4000
rl_rpg,4200,150,100,100,100,100,100,0,1,500,4000
smoke,100,0,0,0,0,0,0,0,1,500,4000
smoke_ru,100,0,0,0,0,0,0,0,1,500,4000
flash,100,1200,0,0,0,0,0,0,1,500,4000
flash_ru,100,1200,0,0,0,0,0,0,1,500,4000
grenade_us,100,0,0,80,90,0,0,0,1,500,4000
smoke_us,100,0,0,0,0,0,0,0,1,500,4000
grenade_ger,100,0,0,80,90,0,100,0,1,500,4000
smoke_ger,100,0,0,0,0,0,0,0,1,500,4000
grenade_svt,100,0,0,80,90,0,0,0,1,500,4000
smoke_svt,500,0,0,0,0,0,0,0,1,500,4000
grenade,450,0,0,80,90,0,0,0,1,500,4000
grenade_ru,450,0,0,80,90,0,0,0,1,500,4000
armour,550,0,50,10,0,0,75,0,1,500,4000
kevlarhelmet,700,0,50,10,0,0,75,0,1,500,4000
supp_pistol,200,-50,0,0,0,0,0,0,1,500,4000
supp_rifle,200,-200,0,0,0,0,0,0,1,500,4000
scope,300,0,0,0,0,0,0,0,1,500,4000
grip_angled,100,-100,0,0,0,0,0,0,1,500,4000
grip_vertical,100,-150,0,0,0,0,0,0,1,500,4000
flashlight_rifle,100,-100,0,0,0,0,0,0,1,500,4000
laser_rifle,100,-100,0,0,0,0,0,0,1,500,4000
laser_pistol,100,-100,0,0,0,0,0,0,1,500,4000
acog,100,-50,0,0,0,0,0,0,1,500,4000
holo,100,-150,0,0,0,0,0,0,1,500,4000
reddot,100,-150,0,0,0,0,0,0,1,500,4000
painkillers,350,0,0,0,0,0,0,0,1,500,4000
knife,50,1200,0,0,0,0,0,0,1,500,4000
taser,900,500,10,10,0,0,0,0,1,500,4000
newtonlauncher,1000,0,30,0,0,0,100,0,1,500,4000
tttknife,100,0,50,10,0,0,75,0,1,500,4000
healthstation,100,0,50,10,0,0,75,0,1,500,4000
monocular,200,0,50,10,0,0,75,0,1,500,4000
teleporter,100,0,50,10,0,0,75,0,1,500,4000
ballisticsshield,1500,0,50,10,0,0,75,0,1,500,4000
flaregun,500,0,1,0,0,0,1,0,1,500,4000
dnascanner,1,0,50,10,0,0,75,0,1,500,4000
silentcet9,100,500,25,25,50,80,50,0,1,500,4000
detectivesmg,2200,0,20,30,10,100,25,0,1,500,4000
tttc4,4000,0,50,10,100,0,75,0,1,500,4000
goldengun,1000,0,200,200,100,100,100,0,1,500,4000
grenade_dis,250,0,50,10,0,0,75,0,1,500,4000
trenchgun,1000,600,15,15,10,25,0,0,0.67,750,1500
tranqgun,1000,0,17,0,0,10,1,0,1,500,4000
hunting,500,800,50,60,100,100,100,0,1,500,4000
